id_hex,lon,lat,ds_codigo,ds_nome,ds_subpref,iptc_2025,classe_iptc,pop_total,renda_per_capita,decil_renda,pct60,pct60_car,penal_car,dep_pico,deficit
89a81000003ffff,-46.6334850281434,-23.7094930955847,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,322,477.6,3.0,2.7786186601162575,75.29873147443134,27.099339882530277,41.0008354953608,3461.4167123667717
89a81000007ffff,-46.636497041421,-23.7078208421337,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,16,65.7,1.0,2.1031365938257154,72.02530811918756,34.246614476033514,37.37735849056604,182.80357454471186
89a8100000bffff,-46.6303825622401,-23.7081044880695,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,2386,377.2,1.0,4.252980671131945,77.95372117394363,18.329197144739435,28.20832099754445,22131.05508552749
89a8100000fffff,-46.6333946024384,-23.7064322652888,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,885,363.9,1.0,3.11781839945557,77.27263536504628,24.78420018899739,23.59643196573954,9213.329319021952
89a81000013ffff,-46.6335754544088,-23.7125538110919,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,725,503.5,3.0,4.660725158955648,78.28876143423459,16.797549472275072,30.45267489711934,6429.035261838055
89a81000017ffff,-46.6365874814457,-23.7108816059079,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,211,687.9,6.0,4.564335009064198,78.20970244704463,17.134961016605914,35.0529473603241,1891.4092736930677
89a8100001bffff,-46.6304729740616,-23.7111652702503,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,404,324.1,1.0,3.5165217974033296,76.55440309742539,21.769921390492932,31.12848849107614,4044.782635008618
89a81000023ffff,-46.63941856088,-23.7030875840986,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,2225,435.8,2.0,5.968476925867685,72.35870191902187,12.123478538622736,23.190980689087752,16820.739846330613
89a81000027ffff,-46.6424304786642,-23.7014151259049,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,2135,578.8,4.0,8.221123683264913,76.16468301881125,9.264510054003155,27.356730222796976,11330.9495423573
89a8100002bffff,-46.6363161636277,-23.7016989713764,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,3443,497.0,3.0,5.682686052920127,79.90714540729965,14.061509761961643,27.955590532744502,27012.655409678122
89a8100002fffff,-46.639328108732,-23.7000265435954,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,3078,425.2,2.0,8.210956067813372,76.68970170758169,9.339923520989514,24.41014149601509,16366.969312104937
89a81000033ffff,-46.6395090138916,-23.7061485103024,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,4,279.8,1.0,3.9808814167185638,72.88502044499494,18.308764521067793,33.809408223700174,38.18991434460657
89a81000037ffff,-46.6425209456259,-23.7044761001241,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,2396,486.4,3.0,5.048741006570821,74.79292149098838,14.814172759832022,14.107954248707369,20317.16711513333
89a8100003bffff,-46.6364066020278,-23.7047599640073,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,1591,414.2,2.0,3.375157280301516,76.77849503115566,22.74812361464137,22.094627071534557,16153.745531606784
89a81000043ffff,-46.6242679759733,-23.7083878976071,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,2178,374.5,1.0,1.7795926714600814,75.04318348039789,42.168741579963964,15.13764039694257,25588.815247811253
89a81000047ffff,-46.627280083937,-23.7067157837406,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,1481,395.5,2.0,4.221957889896279,79.45743062046718,18.820043376230647,14.48141360026317,13782.781529314387
89a8100004bffff,-46.6211654583453,-23.7069990657149,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,1589,194.4,1.0,0.7171346273164544,81.99627264460834,114.33874410923592,25.173943732983766,20357.03712175491
89a8100004fffff,-46.6241775935298,-23.7053269824395,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,2177,272.0,1.0,4.478603524234165,80.17739600435822,17.902320571693927,24.97420686097498,19701.319853990663
89a81000053ffff,-46.6243583591655,-23.711448698107,58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,459,382.3,1.0,1.042267239596392,79.86222881063163,76.6235623423773,31.05840476536394,5731.116578342681
