ds_codigo,ds_nome,ds_subpref,iptc_2025,classe_iptc,pop,hexagonos,pct60,pct60_car,penal_car,dep_pico,renda,deficit,ponto_cego
30.0,GRAJAU,CAPELA DO SOCORRO,61.9,Muito Baixa,353435.0,406.0,3.5630048570336776,27.86097152875989,12.05045041321931,14.201150567148957,465.60084032424635,3560475.484208562,False
36.0,ITAIM PAULISTA,ITAIM PAULISTA,70.7,Média,234371.0,122.0,2.695731124228079,17.68511192413935,6.805407640527404,5.960684636361159,412.2908589373259,2538854.062916234,False
43.0,JARDIM ANGELA,M'BOI MIRIM,69.2,Baixa,286683.0,257.0,5.0574887851444545,48.84842137801818,13.659888311117225,12.352825833970998,430.4595950928378,2491311.1490918254,False
25.0,CIDADE TIRADENTES,CIDADE TIRADENTES,70.8,Média,205023.0,136.0,2.2210481404622295,18.59185527631597,9.386562438221434,11.683896002240257,416.5860030338059,2318258.9999664705,False
11.0,BRASILANDIA,FREGUESIA-BRASILANDIA,72.5,Média,244763.0,118.0,5.45173121110452,84.75804418825611,18.109352912116233,12.823009513248564,522.609928379698,1983039.1074378507,True
42.0,JARAGUA,PIRITUBA-JARAGUA,69.0,Baixa,176246.0,176.0,4.357376124828803,76.55599530757131,20.70199080385487,19.679446756323657,587.6713445978916,1625822.117764104,False
76.0,SAPOPEMBA,SAPOPEMBA,73.4,Média,282269.0,134.0,8.527157132165982,70.1495472952397,8.549888627802101,32.52043391971663,548.205523808849,1609127.3833765176,True
75.0,SAO RAFAEL,SAO MATEUS,68.6,Baixa,144215.0,121.0,2.5044964917381334,36.413230911984826,16.106213533834065,8.012651474425962,447.573373088791,1589806.4762579119,False
55.0,PARELHEIROS,PARELHEIROS,57.6,Muito Baixa,125102.0,554.0,1.3320520797873994,10.196127211877098,10.364096297403256,26.948508536027987,419.413082124986,1525782.5137935053,False
44.0,JARDIM HELENA,SAO MIGUEL,66.3,Baixa,134364.0,90.0,3.332843304738811,33.32832518509389,10.111363446517885,8.587919068804947,416.28567101306896,1369910.4056277268,False
84.0,VILA CURUCA,ITAIM PAULISTA,71.9,Média,151705.0,90.0,4.711302514962546,28.876428526731154,6.31894583324544,8.172526830423902,505.75323423750046,1337591.7062030316,False
81.0,TREMEMBE,JACANA-TREMEMBE,70.6,Média,176887.0,233.0,6.727371699748866,81.55824033796881,18.27207271133769,17.38129701453043,776.0624285560839,1288245.6418535085,False
19.0,CAPAO REDONDO,CAMPO LIMPO,71.2,Média,274485.0,136.0,10.460467464856526,66.47267852898307,7.103194423967552,13.866785979929023,531.4282274076908,1271400.7238850347,False
33.0,IGUATEMI,SAO MATEUS,70.5,Média,124513.0,160.0,3.8523884114979245,33.32792348886733,9.19492294013256,8.773963938478506,427.9114116598266,1204784.2507565368,False
96.0,LAJEADO,GUAIANASES,63.4,Muito Baixa,160440.0,90.0,6.624725535228397,27.323389001676066,4.928274457333463,18.01773817148776,416.73146285215654,1145819.0673874612,False
58.0,PEDREIRA,CIDADE ADEMAR,64.6,Baixa,152378.0,137.0,6.565039591394835,79.02638757258005,12.850832364963916,23.2393277599518,491.8023763272913,1082659.3267057973,False
73.0,SAO MATEUS,SAO MATEUS,73.5,Alta,157007.0,121.0,7.682614661449216,58.38278692853794,8.487396267480753,21.256065169326543,606.4846146987077,953357.6167605782,True
61.0,PERUS,PERUS,61.0,Muito Baixa,79164.0,110.0,2.1686466067689247,74.11976153793299,43.16193003549415,18.953189014461536,478.70984033146385,899338.8302447477,False
87.0,VILA JACUI,SAO MIGUEL,72.4,Média,137754.0,78.0,7.246676145929208,54.722547808886446,7.8147619194972755,13.633188528502226,547.2869513770925,881179.8445733072,True
31.0,GUAIANASES,GUAIANASES,70.7,Média,106289.0,82.0,5.667179170284101,23.38238763318943,5.124042455137153,16.146713479852178,497.401993621165,858295.6599277045,False
3.0,ANHANGUERA,PERUS,59.7,Muito Baixa,66130.0,172.0,1.7057714553396504,83.42209396249017,62.8280307700471,31.0255262788116,525.1857976712536,781827.7806481957,False
13.0,CACHOEIRINHA,CASA VERDE-CACHOEIRINHA,76.9,Alta,143332.0,80.0,9.225492562182225,87.96707890020976,10.480319953754003,13.421588969336115,712.874702787933,740846.0988184984,True
28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,114009.0,78.0,8.70076303919608,65.24557826603652,8.409446235237395,15.727811099352001,639.7674245015744,611632.1979093872,False
23.0,CIDADE DUTRA,CAPELA DO SOCORRO,72.6,Média,192289.0,191.0,13.338817404000364,66.72302798690214,5.20618832078244,12.003073788128697,711.110381769108,588310.9066756108,True
22.0,CIDADE ADEMAR,CIDADE ADEMAR,72.1,Média,264133.0,118.0,15.972593854867581,90.04355650709046,6.32463548617221,18.019523016699342,653.066973077957,545132.9385256254,False
68.0,SACOMA,IPIRANGA,69.4,Média,244639.0,140.0,18.08514583233047,97.23803307451962,5.781446667656016,21.861484901685117,919.6864539178135,516347.10903577466,False
39.0,JACANA,JACANA-TREMEMBE,70.7,Média,109748.0,82.0,10.99032913994953,84.63572669364399,8.884870358277313,29.48901894961194,645.3043499653752,505910.37225749943,False
74.0,SAO MIGUEL,SAO MIGUEL,77.2,Alta,88434.0,72.0,8.279313748286546,43.866173117136746,5.428114636126886,8.510769767745455,625.1969921071081,478817.69419896073,True
95.0,SAO DOMINGOS,PIRITUBA-JARAGUA,62.0,Muito Baixa,79570.0,84.0,8.040690475592678,95.18746345867083,13.922228014453413,14.670583870308473,971.7051903983916,468978.302540845,False
24.0,CIDADE LIDER,ITAQUERA,71.4,Média,131086.0,95.0,10.485299177617035,73.17593002571115,7.36924943098915,10.893128285129023,695.7330729444793,451675.3339603137,False
63.0,PIRITUBA,PIRITUBA-JARAGUA,71.6,Média,161772.0,138.0,15.862442106136204,94.23376462117629,6.502975072706414,14.799693010808951,987.1579760403529,447897.71841837163,False
72.0,SAO LUCAS,VILA PRUDENTE,74.1,Alta,138037.0,92.0,13.749379032994016,90.90410082203368,6.848418501921163,18.942129974810086,892.469182900237,439130.5205701873,False
17.0,CAMPO LIMPO,CAMPO LIMPO,69.2,Baixa,214759.0,126.0,14.613254033931486,78.54180864979301,5.9601549884007925,10.005279531993061,706.1346402246238,425847.99193316256,False
47.0,JOSE BONIFACIO,ITAQUERA,70.8,Média,122979.0,128.0,15.200202480074793,39.515877892619706,2.539875376902583,18.591282857628215,580.2333699249465,360006.01980014046,False
65.0,RAPOSO TAVARES,BUTANTA,66.7,Baixa,107180.0,113.0,12.911076732107032,89.48294892789308,7.471063923691981,52.36385412561664,737.5289615599925,350738.7714714348,False
37.0,ITAQUERA,ITAQUERA,72.2,Média,203034.0,129.0,16.339708209018102,58.571218042519064,4.150086615568204,15.430946400922084,626.2222455352306,345198.1484289442,False
29.0,FREGUESIA DO O,FREGUESIA-BRASILANDIA,69.8,Média,142122.0,101.0,14.708402618345698,95.8040818343143,6.425166804180161,11.316779685462542,1003.6224891290582,330544.2945787069,False
46.0,JARDIM SAO LUIS,M'BOI MIRIM,70.6,Média,269389.0,179.0,17.394505953122078,83.91433739823336,5.089275290634187,9.486684612454,606.0783328198256,323154.70637667575,False
67.0,RIO PEQUENO,BUTANTA,62.1,Muito Baixa,116631.0,94.0,17.11175357913972,94.43438198900373,6.670623819611017,18.6937219358411,1363.181947338186,269548.6311372271,False
64.0,PONTE RASA,ERMELINO MATARAZZO,76.2,Alta,91560.0,62.0,11.449530726452174,74.59886527489411,7.024762701099484,12.184596769408005,785.9887308868501,260083.75583653085,True
57.0,PARQUE DO CARMO,ITAQUERA,68.2,Baixa,61700.0,84.0,11.11627092325216,53.0625037647995,4.693763037323466,16.150756630071925,716.6512285251215,189090.71503642597,False
51.0,MANDAQUI,SANTANA-TUCURUVI,69.5,Média,102460.0,74.0,15.99435270558752,93.46530044197301,6.147849215013701,13.87628937952194,1285.7321325395276,189052.57871468857,False
4.0,ARICANDUVA,ARICANDUVA-FORMOSA-CARRAO,78.5,Alta,91248.0,65.0,13.02870505152798,81.30462266221966,7.09434767840656,33.97069235160454,812.5001621953357,180098.6259961811,True
